actor_name,times_ms,action
N20VentValve,1,SERVO_OPEN
N20FillValve,1,SERVO_OPEN
N2PressureValve,1,SERVO_OPEN
N20MainValve,1,SERVO_OPEN
N20VentValve,2000,SERVO_CLOSE
N20FillValve,2000,SERVO_CLOSE
N2PressureValve,2000,SERVO_CLOSE
N20MainValve,2000,SERVO_CLOSE
